Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 8,Cell 9,Cell 10,Cell 11,Cell 16,Cell 17,Cell 18,Cell 22,Cell 23,Cell 25,Cell 27,Cell 30,Cell 31,Cell 32,Cell 36,Cell 38,Cell 45,Cell 46,Background,Background,Background,Background
24.5,2703.231,2135.885,2170.615,2836.019,2722.673,2662.66,3587.373,3711.327,2600.204,3187.111,3095.039,2134.558,2141.654,1908.308,1945.038,2147.075,3150.115,2122.327,1774.5,2304.76,,2082.577,3205.216,1725.943,1498.923,1489.039,1863.453,1719.673
25,2900.789,2169.077,2171.019,2842.481,3535.808,2886.04,3479.132,3577.64,2333.396,3444.667,3350.923,,2114.726,1997.712,1785.096,1976.75,2840.471,2122.98,1926.922,2236.82,,1909.308,3253.843,1799.981,1544.769,1412.157,1850.717,1537.571
25.5,3256.059,1998.692,2351.51,2596.547,3518,2721.898,3649.679,3190.235,2278.944,3375.774,3076.289,,1991.058,1930.7,1911.98,1814.596,3420.346,2035.635,1788.923,2193.096,,2225.904,3500.039,1980.808,1680.75,1458.882,1942.151,1632.02
26,3403.846,2275.294,2601.389,2578.868,3582.115,2464.25,3419.943,4427.868,2213.654,3522.572,3588,,2133.135,1929.962,2212.698,1981.269,3181.615,2413.471,2084.558,2271.706,,2178.442,3200.51,2030.981,1524.962,1510.039,1713.453,1618.519
26.5,3736.887,1932.077,2380.269,2626.863,3638.019,2743.157,3425.196,4617.5,2248.115,3102.72,3738.852,,2015.49,1955.098,1886.981,1747.06,2771.596,2326.577,1910.885,2226.558,,1895.346,2793.346,1834.404,1576.615,1698.528,1810.094,1590.654
27,3624.843,2185,2443.154,2711.962,3621.904,2364.827,3881.823,4156.039,2164.039,3285.442,3562.404,,1996.232,1973.941,1826.058,1985.735,2630.981,2228.135,1897.057,2276.836,,1940.058,3109.981,1627.596,1446.442,1512.115,1875.641,1565.673
27.5,4127.211,2154.211,2340.863,2852.094,3624.34,2817.868,3327.981,2926.096,2243.906,2828.113,3294.922,,1857.635,1662.288,1869.453,1637.122,2852.269,2191.037,1936.315,2284.887,,2121.54,3264.692,,1666.5,1425.212,1751.359,1596.635
28,3972.961,2116.077,2326.321,2938.039,3927.1,2703.811,3008.056,2459.907,2529.235,2979.608,3025.569,,2017.423,1600.538,1798.519,1726.529,2542.51,2265.148,1820.333,2177.039,,1997.192,3028.412,,1560.885,1630.346,1806.346,1569.212
28.5,3742.02,2231.808,2382.019,2692.34,3481.691,3093.077,2970.308,2290.83,2724.385,3222.925,3031.481,,1846.615,1497.865,1774.075,,2999.396,2395.827,1831.462,2181.327,,2036.745,3126.537,,1654.096,1499.942,1611.231,1523.404
29,3494.094,1996.075,2452,2898.765,3752.51,2926.289,3004.404,2529.135,2758.431,3390.481,3302.192,,1870.346,,1488.269,,2761.365,2343.226,1937.434,2061.648,,1917.882,3207.778,,1579.462,1474,1599.212,1538.885
29.5,4113.891,2060.173,2582.893,2803.846,3637.531,2968.596,3327.472,2086.692,2921,3447.961,2929.096,,1930.607,,1598.538,,2782.132,2577.038,1831.451,2035.113,,1856.208,3556.944,,1723.577,1452.231,1877.9,1588.096
30,4028.596,2053.615,2465.572,2891.868,3936.404,2916.245,3692.577,2075.667,2543.539,3896.74,2836.412,,1788.02,,1784.673,,2729.453,2282.769,1851.453,2177.189,,2132.075,3486.519,,1475.038,1545.788,1562.83,1747.038
30.5,3956.211,2191.444,2379.232,2693.83,3722.789,3034.157,3443.604,2169.667,3174.529,3735.404,2523.692,,,,1990.808,,2948,2574.75,1827.019,2122.868,,2292.961,3381.593,,1533.577,1561.712,1636.177,1585.442
31,3408.34,2082.059,2161.321,2689.722,4109.961,2956.925,3474.774,2059.655,3063.942,3367.019,2542.211,,,,1953.075,,2830.611,2468.942,1843.216,1907.48,,2101.192,3194.83,,1441.192,1470.094,1671.778,1460.019
31.5,3426.385,2225.925,2470.808,2553.346,4110.615,3078,3061.321,2020.667,3233.981,3642.539,2548.769,,,,1877.481,,3128.019,2453.577,1808.385,2005.385,,2113.75,4104.096,,1524.365,1673.792,1686.704,1546.692
32,4078.654,2125.096,2394.961,2708.358,4201.423,3123.404,3126.34,2396.51,3265.02,3390.02,2490,,,,1812.902,,2574.588,2772.058,1697.294,2343.539,,2096.889,4260.174,,1472.115,1609.434,1569.288,1671.404
32.5,3903.635,1870.882,2445.569,2893.654,4024.019,3183.019,3010.918,2294.519,3111.808,3246.539,2356,,,,1992.442,,3470.654,3022.274,1838.481,2094.289,,1956.453,4591.174,,1589.25,1632.66,1677.151,1407.5
33,3789.906,2099.46,2592.154,2321.461,3846.059,3099.075,3352.38,2499.019,2979.654,3361.192,2318.51,,,,2042.635,,3561.726,2672.962,1842.51,2217.039,,1912.288,4061.5,,1500.135,1483.226,1795.038,1511.385
33.5,4336.509,1959.115,2780.308,2545.185,4000.25,2834.377,3319.2,2299.151,3028.98,3340.315,2169.154,,,,1744.039,,3224.308,2683.865,1750.5,2210.711,,2010.404,4481.519,,1677.788,1423.491,1787.75,1513.75
34,4468.789,2038.615,3170.922,2853.211,3307.822,2802.404,3012.481,2200.415,2540.02,3242.373,2283.635,,,,1806.235,,3791.077,2759.481,1831.442,2335.472,,1987.66,4222.547,,1493.25,1607.962,1578.66,1523.885
34.5,4277.269,2116.135,3051.453,2518.963,3459.673,2828.76,3282,2595.981,2416.157,3344.019,2199.889,,,,1852.154,,3204.308,2593.451,1773.647,2443.774,,1950.698,4107.491,,1635.25,1532.566,1725.923,1609.269
35,4667.481,2102.039,2678.823,2284.189,3421.981,2691.642,2984,2469.226,2169.077,3089.196,2151.887,,,,1990.654,,2130.14,2314.647,1874.25,2585.642,,2012.712,4029.415,,1604.577,1478.113,1780.135,1570.577
35.5,4293.769,2012.346,2985.711,2242.519,2982.75,2978.461,3414.178,2555.731,2148.216,3328,2199.942,,,,1795.887,,,2646.98,1901.717,2581.231,,2493.906,4007.865,,1562.942,1544.615,1824.673,1526.481
36,4426.082,1978.365,2849.154,2339.259,2576.226,2761.66,3115.911,2343.6,2193.208,3270.26,2228.539,,,,1749.925,,,2264.453,1779.849,2663.461,,2173.019,3570.19,,1715.942,1502.096,1748.558,1635.692
36.5,3869.283,1921.346,2638.423,2512.231,1982.385,2946.647,3288.077,2481.654,2066.314,3209.865,2213.231,,,,1895.731,,,2633.981,1591.923,,,2436.885,2872.771,,1527,1577.885,1770.231,1487.5
37,4463.773,1964.679,2267.471,2247.741,2245.51,2825.808,3316.113,2584.75,2317.686,2948.255,2366.827,,,,1983.8,,,2838.058,,,,2177.539,2384.078,,1601.096,1545.25,1783.865,1615.596
37.5,3751.863,1991.962,2486.711,2260.235,2188.673,2711.745,3067.547,2379.528,2335.961,3141.404,2118.283,,,,1996.365,,,2443.185,,,,2378.911,2304.98,,1659.692,1741.596,1756.25,1464.519
38,3800.333,2068.808,2317.566,2441.627,2028.214,2437.741,3130.177,2434.857,1990.365,3058.269,2501.286,,,,,,,2934.673,,,,2346.255,2523.461,,1602.981,1557,1730.058,1465.192
38.5,3691.404,2155,2321.654,2105.846,2090.75,2482.673,2778.627,2494.49,2118.566,2348.51,2786.66,,,,,,,2864.961,,,,2402.911,2489.389,,1393.558,1473.673,1913.692,1533.635
39,3529.25,1974.208,2456.981,2004,2094.808,3028.135,2892.289,2179.442,2099.566,2848.226,2116.529,,,,,,,2996.135,,,,2371.731,2611.925,,1482.481,1506.058,1668.673,1453.365
39.5,3287.135,1892.942,2643.346,2106.415,1973.788,2429.283,3256.608,2312.019,1840.472,2546.461,2480.577,,,,,,,1994.769,,,,2263.539,2866.736,,1608.481,1633.423,1558.058,1616.173
40,3127.327,1975.5,2479.539,2247.623,1826.868,2385.539,3386.289,2159.943,1860.769,2654.692,2165.961,,,,,,,2403.731,,,,2086.679,2682.789,,1639.673,1631.154,1800.426,1576.346
40.5,2760.192,1857.192,2346.679,1874.942,,2288.51,3484.1,2138.558,2139.231,2629.423,2311.392,,,,,,,2356.981,,,,2030.882,2258.962,,1394.673,1613.346,1734.5,1539.558
41,2854.077,1802.549,2531.885,1918.732,,2269.74,2829.5,2056.5,1975.741,2320.882,2215.154,,,,,,,2100.52,,,,1972.377,2301.654,,1368.226,1476.673,1560.135,1464.442
41.5,3045.327,1839.481,2476.635,2231.885,,,3159.726,2105.635,2113.037,2065.943,1989.94,,,,,,,2432.75,,,,2050.25,2222.019,,1583.346,1502.385,1627.212,1586.442
42,2589.8,1872.943,2530.885,2206.365,,,3484.654,2160.096,1832.558,2340.019,1976.451,,,,,,,2706.635,,,,1893.849,2529.885,,1419.385,1507.154,1652.519,1479.269
42.5,2601,1837.926,2501.849,2395.37,,,3294.519,1996.623,1843.037,2002.404,1931.321,,,,,,,2522.75,,,,1776.906,2563.569,,1451.25,1567.846,1638.192,1588.231
43,2371.549,1832.192,2527.231,2194.264,,,3642.211,2112.241,,1952.019,1980.827,,,,,,,2314.823,,,,1773.412,2064.692,,1552.827,1615.308,1680.462,1439.566
43.5,2362.549,1780.404,2624.333,2070.135,,,3361.925,2444.925,,2127.365,2034.962,,,,,,,2309.539,,,,1776.442,2240.154,,1681.5,1594.538,1640.118,1628.385
44,2235.647,1767.788,2366.885,2321.588,,,3337.887,2045.558,,2326.528,1829.039,,,,,,,2113.679,,,,1956.808,2117.596,,1498.231,1582.269,1773.212,1397.769
44.5,2105.192,,2174.577,2160.059,,,2925.706,2251,,2006.882,1877.442,,,,,,,2199.021,,,,1751.538,2246.118,,1604.788,1432.846,1696.365,1423.736
45,2200.451,,2176.577,2039.177,,,2765.941,2092.481,,2100.804,2016.784,,,,,,,2136.904,,,,1774.038,2116.404,,1437.961,1609.654,1786.906,1417.725
45.5,2328.078,,2395.902,2187.648,,,2693.5,2024.604,,2348.211,2027.692,,,,,,,2155.151,,,,1873.519,2039.327,,1651.196,1550.038,1770.712,1625.255
46,2183.226,,2577.226,2205.24,,,2730.577,2196.75,,2119.769,2028.365,,,,,,,1897.039,,,,1935.226,2237.519,,1423.321,1567.981,1809.346,1475.275
46.5,2153.627,,2446.019,2291.333,,,2834.365,2184.789,,2092.558,1960.491,,,,,,,2185.843,,,,1867.196,1728.54,,1351.623,1460.712,1861.481,1541.231
47,2327.404,,2321.704,2259.404,,,2953.654,2547.711,,,1959.462,,,,,,,2310.471,,,,1811,1792.25,,1494.321,1514.615,1727.596,1566.442
47.5,2116.231,,2488.096,2236.711,,,2808.353,2469.596,,,2210.365,,,,,,,2324.627,,,,1932.712,,,1509.604,1419.173,1691.135,1484.731
48,1942.49,,2370.558,2174.216,,,3028,2504.519,,,2266.058,,,,,,,1936.5,,,,1673.019,,,1311.66,1496.731,1663.346,1286.288
48.5,1893.196,,2498.604,2088.792,,,2877.077,3208.941,,,2039.235,,,,,,,2143.442,,,,1839.208,,,1569.132,1532.154,1631.346,1561.481
49,1725.722,,2163.714,2039.038,,,3079.269,3273.904,,,2110.154,,,,,,,2348.442,,,,1952.712,,,1399.434,1358.096,1658.75,1475.404
49.5,1702.365,,2565.25,2034.963,,,3306.077,3074.177,,,2129.615,,,,,,,2307,,,,1888.462,,,1600.096,1581.904,1462.365,1485.885
50,1854.135,,2584.902,2100.981,,,2742.711,2630.885,,,2127.173,,,,,,,2161.654,,,,1928.404,,,1424.5,1381.173,1681.212,1543.635
50.5,1743.115,,2300.706,2571.863,,,2755.49,2179.904,,,1945.558,,,,,,,2347.211,,,,1994.654,,,1514.808,1331.962,1648.804,1413.962
51,1984.385,,2455.906,2534.941,,,3041.264,2188.34,,,1881.404,,,,,,,2235.115,,,,,,,1711.192,1407.923,1601.904,1430.115
51.5,1890.942,,2351.808,2286.415,,,2771.075,2182.453,,,2078.177,,,,,,,2233.98,,,,,,,1514.577,1477.538,1546.604,1421.058
52,1751.769,,2169.289,2263.059,,,2490.49,2112.302,,,2074.789,,,,,,,,,,,,,,1531.75,1483.865,1692.556,1506.558
52.5,1817.173,,2400.51,2128.717,,,2421.654,1967.096,,,1848.647,,,,,,,,,,,,,,1400.269,1526.135,1601.804,1516.057
53,1720.423,,2580.365,2032.811,,,2720.885,1982.189,,,2071.269,,,,,,,,,,,,,,1553.212,1454.327,1757.288,1635.804
53.5,1602.596,,2391.765,2146.731,,,2728.392,1866.547,,,2007.623,,,,,,,,,,,,,,1401.615,1417.058,1881.82,1386.667
54,1706.654,,2144.539,2077.113,,,2650.808,2043.442,,,2159.34,,,,,,,,,,,,,,1400.308,1496.154,1788.736,1520.961
54.5,1872.589,,2526.25,2166.154,,,2814.173,1893.788,,,2232.865,,,,,,,,,,,,,,1556.788,1418.5,1808.667,1492.765
55,1665.393,,2661.453,2082.94,,,2720.774,1854.72,,,2003.788,,,,,,,,,,,,,,1433.863,1380.058,1790.759,1534.627
55.5,1747.208,,2790.321,2189.796,,,3213.333,1756.189,,,2023.792,,,,,,,,,,,,,,1435.02,1470.327,1746.37,1426.816
56,1660.302,,2695.34,2109.686,,,3100.686,1937.769,,,1990.902,,,,,,,,,,,,,,1446.078,1403.788,1813.593,1435.163
56.5,1660.061,,2863.451,2361.13,,,3052.604,1991.808,,,2014.333,,,,,,,,,,,,,,1455.941,1475.885,1633.346,1564.184
57,1686.531,,2659.135,2098.942,,,3494.804,1811.596,,,1900.038,,,,,,,,,,,,,,1572.275,1512.115,1584.942,1450.365
57.5,1703.865,,2923.961,2267.274,,,3080.34,1832.519,,,2050.157,,,,,,,,,,,,,,1388.843,1364.731,1666.407,1407.885
58,1690.333,,2914.942,2170.061,,,3189.235,1845.846,,,1991.481,,,,,,,,,,,,,,1578.588,1455.423,1577.712,1417.212
58.5,,,3275,2143.434,,,3724.396,1756.481,,,2024.577,,,,,,,,,,,,,,1616.118,1628.423,1574.058,1451.673
59,,,3236.039,2183.849,,,3572.373,,,,2004.038,,,,,,,,,,,,,,1493.569,1489.462,1639.5,1480.192
59.5,,,3417.192,,,,2889.717,,,,1888.415,,,,,,,,,,,,,,1498.647,1530.096,1516.226,1392.346
60,,,2892.434,,,,3764.231,,,,2030.717,,,,,,,,,,,,,,1673.569,1313.5,1749.585,1405.231
60.5,,,2893.434,,,,4059.577,,,,1972.235,,,,,,,,,,,,,,1475.275,1482.077,1621.827,1383.5
61,,,2520.539,,,,,,,,2010.453,,,,,,,,,,,,,,1437.039,1553.019,1619.558,1481.038
61.5,,,2623.481,,,,,,,,1719,,,,,,,,,,,,,,1548.275,1482.5,1723.75,1515.904
62,,,2528.593,,,,,,,,1834.463,,,,,,,,,,,,,,1531.588,1413.5,1561.509,1518.019
62.5,,,2275.039,,,,,,,,1954.078,,,,,,,,,,,,,,1492.392,1351.923,1539,1516.827
63,,,2522.094,,,,,,,,1889.137,,,,,,,,,,,,,,1395.941,1448.019,1571.615,1431.154
63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,